num_K_resource = 3
num_I_interface = 15
num_J_service = 500
79	84	55	
58	66	30	
24	57	37	
93	85	25	
48	21	94	
62	20	62	
23	100	22	
72	90	77	
24	81	85	
39	63	68	
31	29	53	
31	75	84	
94	69	76	
46	21	22	
78	79	26	
1	0	0	
0	0	1	
0	0	1	
1	0	1	
1	0	0	
1	1	0	
1	1	1	
1	0	1	
0	1	0	
0	0	0	
0	1	0	
0	1	1	
1	1	1	
0	0	1	
1	0	0	
1	0	1	
1	0	1	
0	1	0	
0	0	0	
1	1	0	
0	1	0	
1	1	0	
1	1	0	
1	0	1	
1	1	1	
0	0	1	
1	1	0	
0	1	1	
1	0	1	
0	1	0	
1	1	1	
1	1	0	
1	0	0	
0	0	1	
0	1	1	
0	1	0	
1	1	1	
1	0	1	
0	0	0	
1	1	0	
1	1	0	
0	2	0	
1	0	1	
1	1	0	
0	1	1	
0	1	1	
0	2	1	
0	1	1	
0	0	0	
0	0	1	
0	2	1	
0	1	1	
1	0	1	
1	1	0	
1	1	0	
1	2	1	
1	2	0	
1	2	1	
1	1	1	
0	0	0	
0	2	1	
1	0	0	
1	0	1	
0	1	1	
0	2	0	
0	2	0	
1	1	0	
0	2	0	
1	0	0	
0	0	0	
1	0	0	
1	0	0	
1	0	1	
0	2	0	
1	0	1	
0	2	1	
0	1	0	
1	2	1	
0	1	0	
0	1	1	
1	2	1	
1	2	0	
1	1	1	
1	2	1	
0	0	0	
1	1	0	
1	2	0	
0	0	1	
0	1	1	
0	0	0	
0	0	1	
1	0	1	
1	2	1	
1	1	1	
1	2	0	
0	2	1	
0	2	0	
1	0	1	
1	2	1	
1	2	0	
0	2	1	
0	1	0	
1	2	0	
0	0	0	
0	0	0	
1	0	0	
1	2	1	
0	0	0	
1	1	1	
0	0	0	
1	0	1	
0	2	1	
1	2	0	
0	0	0	
0	0	0	
0	0	0	
1	0	0	
0	1	0	
1	2	1	
1	1	0	
0	0	1	
1	2	0	
1	1	1	
0	0	2	
1	2	0	
0	1	0	
1	2	0	
1	1	1	
1	0	1	
0	2	0	
1	2	1	
1	2	0	
1	2	1	
1	0	0	
0	0	2	
1	0	2	
1	2	2	
0	1	0	
2	2	1	
2	1	1	
0	0	0	
1	0	0	
1	1	1	
1	2	1	
0	0	2	
1	2	0	
1	2	1	
0	0	2	
0	1	1	
2	1	2	
1	2	0	
1	0	1	
0	2	1	
2	2	2	
1	2	2	
2	0	2	
1	1	0	
1	2	1	
0	1	2	
2	2	2	
1	1	1	
0	0	1	
1	1	1	
0	0	2	
1	0	2	
2	0	2	
0	1	0	
2	1	2	
2	0	2	
0	1	0	
1	1	1	
0	0	2	
2	2	1	
2	2	0	
2	2	2	
2	1	1	
2	2	0	
2	2	2	
2	1	0	
0	0	0	
1	2	1	
1	0	0	
1	0	1	
0	1	0	
1	0	0	
1	1	1	
1	0	1	
2	1	1	
0	0	1	
0	0	2	
1	1	0	
1	1	0	
